"id","name","seq","lat","lng"
100,"0232 - Aventureiro Circular - Volta",1,-26.2497178682746,-48.8201054421253
100,"0232 - Aventureiro Circular - Volta",2,-26.249271180115,-48.81959235249
100,"0232 - Aventureiro Circular - Volta",3,-26.2488014408533,-48.8190223201731
100,"0232 - Aventureiro Circular - Volta",4,-26.2483590881191,-48.818483771539
100,"0232 - Aventureiro Circular - Volta",5,-26.2481082879809,-48.8181733340951
100,"0232 - Aventureiro Circular - Volta",6,-26.2472118932366,-48.8170936676921
100,"0232 - Aventureiro Circular - Volta",7,-26.247005798139,-48.8168363379595
100,"0232 - Aventureiro Circular - Volta",8,-26.2466292527398,-48.8163901306284
100,"0232 - Aventureiro Circular - Volta",9,-26.2461789999008,-48.8158578424497
100,"0232 - Aventureiro Circular - Volta",10,-26.2460978377908,-48.8157526337239
100,"0232 - Aventureiro Circular - Volta",11,-26.2459746923655,-48.8155942364644
100,"0232 - Aventureiro Circular - Volta",12,-26.2454631666328,-48.8149636000065
100,"0232 - Aventureiro Circular - Volta",13,-26.2453408598559,-48.8148228422868
100,"0232 - Aventureiro Circular - Volta",14,-26.2450524105274,-48.8144828761032
100,"0232 - Aventureiro Circular - Volta",15,-26.2444235635776,-48.8137084575932
100,"0232 - Aventureiro Circular - Volta",16,-26.2443217941491,-48.8135692596
100,"0232 - Aventureiro Circular - Volta",17,-26.2442699144853,-48.8135006961251
100,"0232 - Aventureiro Circular - Volta",18,-26.2440113324615,-48.8131550648123
100,"0232 - Aventureiro Circular - Volta",19,-26.2435157192375,-48.812509389681
100,"0232 - Aventureiro Circular - Volta",20,-26.2434620071135,-48.812453686884
100,"0232 - Aventureiro Circular - Volta",21,-26.243437053873,-48.8124300967455
100,"0232 - Aventureiro Circular - Volta",22,-26.2434044091579,-48.8124235511776
100,"0232 - Aventureiro Circular - Volta",23,-26.2433813562256,-48.8124298618649
100,"0232 - Aventureiro Circular - Volta",24,-26.2433544511091,-48.812446842864
100,"0232 - Aventureiro Circular - Volta",25,-26.243303853735,-48.812493665335
100,"0232 - Aventureiro Circular - Volta",26,-26.2426604955244,-48.8132611099786
100,"0232 - Aventureiro Circular - Volta",27,-26.2415544666949,-48.8145028457701
100,"0232 - Aventureiro Circular - Volta",28,-26.2415189910412,-48.8145361846894
100,"0232 - Aventureiro Circular - Volta",29,-26.2414830286556,-48.8145446572329
100,"0232 - Aventureiro Circular - Volta",30,-26.241435656969,-48.8145404457971
100,"0232 - Aventureiro Circular - Volta",31,-26.2413863405874,-48.8145066093281
100,"0232 - Aventureiro Circular - Volta",32,-26.2407299121621,-48.8137819459469
100,"0232 - Aventureiro Circular - Volta",33,-26.2400432945463,-48.813004215262
100,"0232 - Aventureiro Circular - Volta",34,-26.239971648788,-48.812922303166
100,"0232 - Aventureiro Circular - Volta",35,-26.2395219595394,-48.8124084081726
100,"0232 - Aventureiro Circular - Volta",36,-26.2391771722162,-48.8120217401973
100,"0232 - Aventureiro Circular - Volta",37,-26.2390642588905,-48.8119000660689
100,"0232 - Aventureiro Circular - Volta",38,-26.2384640688807,-48.811219154013
100,"0232 - Aventureiro Circular - Volta",39,-26.2379315722704,-48.8106304005827
100,"0232 - Aventureiro Circular - Volta",40,-26.2378655722082,-48.8105608639409
100,"0232 - Aventureiro Circular - Volta",41,-26.23757559473,-48.8101893587899
100,"0232 - Aventureiro Circular - Volta",42,-26.2375282461644,-48.8101237916597
100,"0232 - Aventureiro Circular - Volta",43,-26.2374580810849,-48.8100311890023
100,"0232 - Aventureiro Circular - Volta",44,-26.2371954145588,-48.8096712566197
100,"0232 - Aventureiro Circular - Volta",45,-26.2371539277469,-48.8096209059456
100,"0232 - Aventureiro Circular - Volta",46,-26.2371256562252,-48.8095747323598
100,"0232 - Aventureiro Circular - Volta",47,-26.2370898658295,-48.8095433485403
100,"0232 - Aventureiro Circular - Volta",48,-26.2370625418739,-48.8095476406244
100,"0232 - Aventureiro Circular - Volta",49,-26.237019421511,-48.8095821128854
100,"0232 - Aventureiro Circular - Volta",50,-26.2361431904273,-48.8105191561835
100,"0232 - Aventureiro Circular - Volta",51,-26.2351382157486,-48.8116112419508
100,"0232 - Aventureiro Circular - Volta",52,-26.2351250633161,-48.8116672936941
100,"0232 - Aventureiro Circular - Volta",53,-26.2351195092284,-48.8117405935096
100,"0232 - Aventureiro Circular - Volta",54,-26.2351288689499,-48.8117906638166
100,"0232 - Aventureiro Circular - Volta",55,-26.235186886816,-48.8118845430012
100,"0232 - Aventureiro Circular - Volta",56,-26.2354808544618,-48.8122672900303
100,"0232 - Aventureiro Circular - Volta",57,-26.236311498661,-48.8132235031072
100,"0232 - Aventureiro Circular - Volta",58,-26.2374413552813,-48.8144199514598
100,"0232 - Aventureiro Circular - Volta",59,-26.2375447911378,-48.8145335535049
