"id","name","seq","lat","lng"
115,"0800 - Iririú to Centro - Volta",1,-26.3010204214484,-48.8443055533069
115,"0800 - Iririú to Centro - Volta",2,-26.3014604859748,-48.8443362957113
115,"0800 - Iririú to Centro - Volta",3,-26.301521351,-48.8443327724811
115,"0800 - Iririú to Centro - Volta",4,-26.3015610234601,-48.8443196769161
115,"0800 - Iririú to Centro - Volta",5,-26.3015949073405,-48.8442885485672
115,"0800 - Iririú to Centro - Volta",6,-26.3016067727637,-48.8442438103397
115,"0800 - Iririú to Centro - Volta",7,-26.3016227009374,-48.8441241265374
115,"0800 - Iririú to Centro - Volta",8,-26.3016967910777,-48.8429228302737
115,"0800 - Iririú to Centro - Volta",9,-26.3017479084234,-48.8418237315884
115,"0800 - Iririú to Centro - Volta",10,-26.3017834468338,-48.8410873101532
115,"0800 - Iririú to Centro - Volta",11,-26.3017777180004,-48.841003379369
115,"0800 - Iririú to Centro - Volta",12,-26.3017606215721,-48.8409529909847
115,"0800 - Iririú to Centro - Volta",13,-26.3017312486237,-48.8409170903883
115,"0800 - Iririú to Centro - Volta",14,-26.301691406757,-48.8408935656656
115,"0800 - Iririú to Centro - Volta",15,-26.3016555237468,-48.8408881471488
115,"0800 - Iririú to Centro - Volta",16,-26.3015877359681,-48.8408933502352
115,"0800 - Iririú to Centro - Volta",17,-26.3014727150854,-48.8409475467805
115,"0800 - Iririú to Centro - Volta",18,-26.3013511266318,-48.841025826362
115,"0800 - Iririú to Centro - Volta",19,-26.3012459329389,-48.841139957193
115,"0800 - Iririú to Centro - Volta",20,-26.3010170053834,-48.8414203471785
115,"0800 - Iririú to Centro - Volta",21,-26.3008938322218,-48.8415626846907
115,"0800 - Iririú to Centro - Volta",22,-26.3008307277083,-48.8416180243863
115,"0800 - Iririú to Centro - Volta",23,-26.3007438454664,-48.8416660532352
115,"0800 - Iririú to Centro - Volta",24,-26.3006421221998,-48.8417004530456
115,"0800 - Iririú to Centro - Volta",25,-26.3000321586558,-48.841829568019
115,"0800 - Iririú to Centro - Volta",26,-26.2998892413895,-48.8418470673397
115,"0800 - Iririú to Centro - Volta",27,-26.29925014537,-48.8418997928616
115,"0800 - Iririú to Centro - Volta",28,-26.2989626051416,-48.8419181387108
115,"0800 - Iririú to Centro - Volta",29,-26.298715811077,-48.8419232975319
115,"0800 - Iririú to Centro - Volta",30,-26.2983437318142,-48.8419197325255
115,"0800 - Iririú to Centro - Volta",31,-26.2972225425613,-48.8419551709416
115,"0800 - Iririú to Centro - Volta",32,-26.2959599713911,-48.8420086400876
115,"0800 - Iririú to Centro - Volta",33,-26.2957177337248,-48.842017922204
115,"0800 - Iririú to Centro - Volta",34,-26.2956166647875,-48.8420285102602
115,"0800 - Iririú to Centro - Volta",35,-26.2955409275416,-48.8420445922099
115,"0800 - Iririú to Centro - Volta",36,-26.2954182312218,-48.8420801883343
115,"0800 - Iririú to Centro - Volta",37,-26.2952888717788,-48.8421603223169
115,"0800 - Iririú to Centro - Volta",38,-26.2952154648253,-48.8422229335178
115,"0800 - Iririú to Centro - Volta",39,-26.2951040685341,-48.8422965498354
115,"0800 - Iririú to Centro - Volta",40,-26.2949778989653,-48.8423749181925
115,"0800 - Iririú to Centro - Volta",41,-26.2947953201208,-48.8424339230404
115,"0800 - Iririú to Centro - Volta",42,-26.2944363815857,-48.8425153870941
115,"0800 - Iririú to Centro - Volta",43,-26.2942492535745,-48.8425337033252
115,"0800 - Iririú to Centro - Volta",44,-26.2931766946527,-48.8425430447137
115,"0800 - Iririú to Centro - Volta",45,-26.2917407969289,-48.8425531201655
115,"0800 - Iririú to Centro - Volta",46,-26.2900253639061,-48.842600541933
115,"0800 - Iririú to Centro - Volta",47,-26.2883859380702,-48.8426388815671
115,"0800 - Iririú to Centro - Volta",48,-26.2875467356762,-48.8426801668392
115,"0800 - Iririú to Centro - Volta",49,-26.286559057218,-48.8427374046638
115,"0800 - Iririú to Centro - Volta",50,-26.286027568214,-48.8427592955392
115,"0800 - Iririú to Centro - Volta",51,-26.2858305095754,-48.8427608743649
115,"0800 - Iririú to Centro - Volta",52,-26.285718555931,-48.8427488082334
115,"0800 - Iririú to Centro - Volta",53,-26.285620923308,-48.8427122369294
115,"0800 - Iririú to Centro - Volta",54,-26.2855485576399,-48.8426509298233
115,"0800 - Iririú to Centro - Volta",55,-26.28548703161,-48.8425553281364
115,"0800 - Iririú to Centro - Volta",56,-26.2850640497125,-48.8418466382381
115,"0800 - Iririú to Centro - Volta",57,-26.2846640930404,-48.8411430683463
115,"0800 - Iririú to Centro - Volta",58,-26.2845803475149,-48.8410141701966
115,"0800 - Iririú to Centro - Volta",59,-26.2842686124911,-48.8405901798722
115,"0800 - Iririú to Centro - Volta",60,-26.2842478288395,-48.8405668124389
115,"0800 - Iririú to Centro - Volta",61,-26.2842222985567,-48.8405552617823
115,"0800 - Iririú to Centro - Volta",62,-26.2841914566583,-48.8405498476695
115,"0800 - Iririú to Centro - Volta",63,-26.2841535040026,-48.8405506047315
115,"0800 - Iririú to Centro - Volta",64,-26.2840831397498,-48.8405560856736
115,"0800 - Iririú to Centro - Volta",65,-26.2840254421972,-48.8405614259061
115,"0800 - Iririú to Centro - Volta",66,-26.2839964808042,-48.8405580736786
115,"0800 - Iririú to Centro - Volta",67,-26.2839636391418,-48.8405407502299
115,"0800 - Iririú to Centro - Volta",68,-26.2839266762841,-48.8404973954301
115,"0800 - Iririú to Centro - Volta",69,-26.2838945282756,-48.8404237440858
115,"0800 - Iririú to Centro - Volta",70,-26.2832893098941,-48.8387276935563
115,"0800 - Iririú to Centro - Volta",71,-26.2824961560837,-48.8364752873744
115,"0800 - Iririú to Centro - Volta",72,-26.2819381325996,-48.8349286578269
115,"0800 - Iririú to Centro - Volta",73,-26.2818255559806,-48.8346677084517
115,"0800 - Iririú to Centro - Volta",74,-26.2817999760347,-48.8346248416857
115,"0800 - Iririú to Centro - Volta",75,-26.2817363970827,-48.8345393274236
115,"0800 - Iririú to Centro - Volta",76,-26.2816712570764,-48.8344676060134
115,"0800 - Iririú to Centro - Volta",77,-26.2815976407098,-48.8344197062897
115,"0800 - Iririú to Centro - Volta",78,-26.2814616952347,-48.8343670614747
115,"0800 - Iririú to Centro - Volta",79,-26.2808634632652,-48.8341750299058
115,"0800 - Iririú to Centro - Volta",80,-26.2797296240198,-48.8338291607203
115,"0800 - Iririú to Centro - Volta",81,-26.2793223258389,-48.8337006478791
115,"0800 - Iririú to Centro - Volta",82,-26.2790588594111,-48.8335990436506
115,"0800 - Iririú to Centro - Volta",83,-26.2788019174897,-48.8334916613261
115,"0800 - Iririú to Centro - Volta",84,-26.2787171709775,-48.8334330417365
115,"0800 - Iririú to Centro - Volta",85,-26.2785894841962,-48.8333392432855
115,"0800 - Iririú to Centro - Volta",86,-26.2782122377363,-48.8330558166731
115,"0800 - Iririú to Centro - Volta",87,-26.2779400115925,-48.8328412540323
