"id","name","seq","lat","lng"
151,"1742 - SENAI Sul to Norte Ida",1,-26.3461432538932,-48.8476383507214
151,"1742 - SENAI Sul to Norte Ida",2,-26.3465506577068,-48.8475953280911
151,"1742 - SENAI Sul to Norte Ida",3,-26.3466414504703,-48.8475656397008
151,"1742 - SENAI Sul to Norte Ida",4,-26.3467086410169,-48.847320163445
151,"1742 - SENAI Sul to Norte Ida",5,-26.3466658545768,-48.8471701597946
151,"1742 - SENAI Sul to Norte Ida",6,-26.346610854515,-48.847095161996
151,"1742 - SENAI Sul to Norte Ida",7,-26.3456806526205,-48.8471725145107
151,"1742 - SENAI Sul to Norte Ida",8,-26.3427030289531,-48.8473072727476
151,"1742 - SENAI Sul to Norte Ida",9,-26.3379410335491,-48.8475006084289
151,"1742 - SENAI Sul to Norte Ida",10,-26.3378452305669,-48.8473338578375
151,"1742 - SENAI Sul to Norte Ida",11,-26.337814402799,-48.8464139748053
151,"1742 - SENAI Sul to Norte Ida",12,-26.3378170347038,-48.8459661792344
151,"1742 - SENAI Sul to Norte Ida",13,-26.337908158817,-48.8455590044692
151,"1742 - SENAI Sul to Norte Ida",14,-26.3383489502898,-48.8442212604391
151,"1742 - SENAI Sul to Norte Ida",15,-26.3357109156914,-48.8416654596164
151,"1742 - SENAI Sul to Norte Ida",16,-26.3308540237268,-48.8419118249144
151,"1742 - SENAI Sul to Norte Ida",17,-26.3240996373381,-48.8422616127506
151,"1742 - SENAI Sul to Norte Ida",18,-26.3208842298878,-48.8423921418075
151,"1742 - SENAI Sul to Norte Ida",19,-26.3188116038336,-48.842527910449
151,"1742 - SENAI Sul to Norte Ida",20,-26.316266676945,-48.842610548545
151,"1742 - SENAI Sul to Norte Ida",21,-26.3161340644644,-48.8405313481963
151,"1742 - SENAI Sul to Norte Ida",22,-26.3158877387005,-48.8404991459663
151,"1742 - SENAI Sul to Norte Ida",23,-26.3142866477689,-48.8405421990381
151,"1742 - SENAI Sul to Norte Ida",24,-26.3117318887083,-48.8406996758206
151,"1742 - SENAI Sul to Norte Ida",25,-26.3069622176992,-48.8409211362509
151,"1742 - SENAI Sul to Norte Ida",26,-26.306072433218,-48.8409551325525
151,"1742 - SENAI Sul to Norte Ida",27,-26.3060050437405,-48.840729422884
151,"1742 - SENAI Sul to Norte Ida",28,-26.3059859065206,-48.8402060128723
151,"1742 - SENAI Sul to Norte Ida",29,-26.3059409488451,-48.8400768952958
151,"1742 - SENAI Sul to Norte Ida",30,-26.3058445099973,-48.839990695863
151,"1742 - SENAI Sul to Norte Ida",31,-26.3056385358655,-48.8398396250655
151,"1742 - SENAI Sul to Norte Ida",32,-26.3054677336078,-48.8396884167282
151,"1742 - SENAI Sul to Norte Ida",33,-26.3044774264663,-48.8385899299716
151,"1742 - SENAI Sul to Norte Ida",34,-26.3044016224646,-48.8385593965726
151,"1742 - SENAI Sul to Norte Ida",35,-26.3043083471891,-48.8385802949654
151,"1742 - SENAI Sul to Norte Ida",36,-26.3039474433857,-48.8389227505048
151,"1742 - SENAI Sul to Norte Ida",37,-26.3037375364804,-48.8391768633387
151,"1742 - SENAI Sul to Norte Ida",38,-26.3033621021224,-48.8397259764547
151,"1742 - SENAI Sul to Norte Ida",39,-26.3029986568618,-48.8401468382135
151,"1742 - SENAI Sul to Norte Ida",40,-26.3028946401271,-48.8402549265579
151,"1742 - SENAI Sul to Norte Ida",41,-26.3027773226682,-48.8403483874588
151,"1742 - SENAI Sul to Norte Ida",42,-26.3019897721518,-48.840747655756
151,"1742 - SENAI Sul to Norte Ida",43,-26.3016978539687,-48.8409296182156
151,"1742 - SENAI Sul to Norte Ida",44,-26.3014462901074,-48.8410235402951
151,"1742 - SENAI Sul to Norte Ida",45,-26.3013235454829,-48.8411388597938
151,"1742 - SENAI Sul to Norte Ida",46,-26.3009708104402,-48.8415969610516
151,"1742 - SENAI Sul to Norte Ida",47,-26.3007991204665,-48.8417044231255
151,"1742 - SENAI Sul to Norte Ida",48,-26.3004514458583,-48.841795263477
151,"1742 - SENAI Sul to Norte Ida",49,-26.2997312407426,-48.8418740844984
