"id","name","seq","lat","lng"
155,"0131 - Campus to Iririú to Tupy - Volta",1,-26.2512262882965,-48.8540794251356
155,"0131 - Campus to Iririú to Tupy - Volta",2,-26.2508614636239,-48.8540756051438
155,"0131 - Campus to Iririú to Tupy - Volta",3,-26.2508154773559,-48.8540407104517
155,"0131 - Campus to Iririú to Tupy - Volta",4,-26.2507837611233,-48.8539912216811
155,"0131 - Campus to Iririú to Tupy - Volta",5,-26.2508052198595,-48.8538677134919
155,"0131 - Campus to Iririú to Tupy - Volta",6,-26.2509201510905,-48.8536009163866
155,"0131 - Campus to Iririú to Tupy - Volta",7,-26.2511602194851,-48.8529982359036
155,"0131 - Campus to Iririú to Tupy - Volta",8,-26.2512221808405,-48.8528804454874
155,"0131 - Campus to Iririú to Tupy - Volta",9,-26.2512948994633,-48.8528196347443
155,"0131 - Campus to Iririú to Tupy - Volta",10,-26.2513860442084,-48.8527672292598
155,"0131 - Campus to Iririú to Tupy - Volta",11,-26.2520251294884,-48.8525535490446
155,"0131 - Campus to Iririú to Tupy - Volta",12,-26.252519447239,-48.8524084590164
155,"0131 - Campus to Iririú to Tupy - Volta",13,-26.2533092643118,-48.8522070156124
155,"0131 - Campus to Iririú to Tupy - Volta",14,-26.2537296353813,-48.8521447717995
155,"0131 - Campus to Iririú to Tupy - Volta",15,-26.2540453831649,-48.8521038902342
155,"0131 - Campus to Iririú to Tupy - Volta",16,-26.254871330085,-48.8520124382394
155,"0131 - Campus to Iririú to Tupy - Volta",17,-26.2554378232931,-48.8519517833155
155,"0131 - Campus to Iririú to Tupy - Volta",18,-26.2555767869226,-48.8519077184497
155,"0131 - Campus to Iririú to Tupy - Volta",19,-26.2556263112755,-48.8518551577033
155,"0131 - Campus to Iririú to Tupy - Volta",20,-26.2556617061439,-48.8517872576722
155,"0131 - Campus to Iririú to Tupy - Volta",21,-26.2556678691527,-48.8517009422548
155,"0131 - Campus to Iririú to Tupy - Volta",22,-26.255661803691,-48.8516414393928
155,"0131 - Campus to Iririú to Tupy - Volta",23,-26.2556500624945,-48.8515865279292
155,"0131 - Campus to Iririú to Tupy - Volta",24,-26.2555865695228,-48.8515133697484
155,"0131 - Campus to Iririú to Tupy - Volta",25,-26.2554794430598,-48.8514628191878
155,"0131 - Campus to Iririú to Tupy - Volta",26,-26.2551568502713,-48.8513540073486
155,"0131 - Campus to Iririú to Tupy - Volta",27,-26.254664191629,-48.8511807202254
155,"0131 - Campus to Iririú to Tupy - Volta",28,-26.2544951915135,-48.8511251760116
155,"0131 - Campus to Iririú to Tupy - Volta",29,-26.2540905240066,-48.8509546611966
155,"0131 - Campus to Iririú to Tupy - Volta",30,-26.2536661264022,-48.8507096977252
155,"0131 - Campus to Iririú to Tupy - Volta",31,-26.2534875205423,-48.8506072205934
155,"0131 - Campus to Iririú to Tupy - Volta",32,-26.2534438180921,-48.8505673605491
155,"0131 - Campus to Iririú to Tupy - Volta",33,-26.2534353670069,-48.8505135625536
155,"0131 - Campus to Iririú to Tupy - Volta",34,-26.2534684073048,-48.850442167497
155,"0131 - Campus to Iririú to Tupy - Volta",35,-26.2537426339094,-48.8498251386842
155,"0131 - Campus to Iririú to Tupy - Volta",36,-26.2538517835658,-48.8496419922475
155,"0131 - Campus to Iririú to Tupy - Volta",37,-26.253991564525,-48.8494836396517
155,"0131 - Campus to Iririú to Tupy - Volta",38,-26.2547805371263,-48.8488808185357
155,"0131 - Campus to Iririú to Tupy - Volta",39,-26.2550005688847,-48.8487110103112
155,"0131 - Campus to Iririú to Tupy - Volta",40,-26.255468539415,-48.8482861556402
155,"0131 - Campus to Iririú to Tupy - Volta",41,-26.2560350715166,-48.8477157344028
155,"0131 - Campus to Iririú to Tupy - Volta",42,-26.2562521385708,-48.8474867169218
155,"0131 - Campus to Iririú to Tupy - Volta",43,-26.2563562856401,-48.8474062519734
155,"0131 - Campus to Iririú to Tupy - Volta",44,-26.2564617463179,-48.8473716647906
155,"0131 - Campus to Iririú to Tupy - Volta",45,-26.2566320744268,-48.8473347916228
155,"0131 - Campus to Iririú to Tupy - Volta",46,-26.2574789779057,-48.8473007808142
155,"0131 - Campus to Iririú to Tupy - Volta",47,-26.2580540508539,-48.8472839764184
155,"0131 - Campus to Iririú to Tupy - Volta",48,-26.2586557432719,-48.8472377892955
155,"0131 - Campus to Iririú to Tupy - Volta",49,-26.2587563749844,-48.8472114292425
155,"0131 - Campus to Iririú to Tupy - Volta",50,-26.2589157089547,-48.8471077271164
155,"0131 - Campus to Iririú to Tupy - Volta",51,-26.2595483603998,-48.8465578752509
155,"0131 - Campus to Iririú to Tupy - Volta",52,-26.2602796479419,-48.8459127557414
155,"0131 - Campus to Iririú to Tupy - Volta",53,-26.2604454627383,-48.8457559189224
155,"0131 - Campus to Iririú to Tupy - Volta",54,-26.260667195383,-48.8455552072504
155,"0131 - Campus to Iririú to Tupy - Volta",55,-26.2607925265456,-48.8454807279061
155,"0131 - Campus to Iririú to Tupy - Volta",56,-26.2609393841735,-48.8454081898252
155,"0131 - Campus to Iririú to Tupy - Volta",57,-26.2610830992822,-48.8453699713274
155,"0131 - Campus to Iririú to Tupy - Volta",58,-26.2613186965071,-48.8453427685972
155,"0131 - Campus to Iririú to Tupy - Volta",59,-26.2614956301061,-48.8453470473265
155,"0131 - Campus to Iririú to Tupy - Volta",60,-26.2617698976452,-48.8453744185112
155,"0131 - Campus to Iririú to Tupy - Volta",61,-26.2618960738594,-48.8453877169811
155,"0131 - Campus to Iririú to Tupy - Volta",62,-26.2621922662648,-48.8454176974263
155,"0131 - Campus to Iririú to Tupy - Volta",63,-26.2625379392088,-48.8453875801686
155,"0131 - Campus to Iririú to Tupy - Volta",64,-26.2626694254486,-48.8453507801456
155,"0131 - Campus to Iririú to Tupy - Volta",65,-26.2631388692002,-48.8451618963169
155,"0131 - Campus to Iririú to Tupy - Volta",66,-26.2641266896387,-48.8447004125052
155,"0131 - Campus to Iririú to Tupy - Volta",67,-26.2642282336399,-48.8446774367113
155,"0131 - Campus to Iririú to Tupy - Volta",68,-26.2643312603274,-48.8446681432063
155,"0131 - Campus to Iririú to Tupy - Volta",69,-26.2644702045035,-48.844691300894
155,"0131 - Campus to Iririú to Tupy - Volta",70,-26.2656642205836,-48.8448897695263
155,"0131 - Campus to Iririú to Tupy - Volta",71,-26.2661749807364,-48.8449850804048
155,"0131 - Campus to Iririú to Tupy - Volta",72,-26.2662277661899,-48.8449765701307
155,"0131 - Campus to Iririú to Tupy - Volta",73,-26.2662723960461,-48.8449297660927
155,"0131 - Campus to Iririú to Tupy - Volta",74,-26.2663173350578,-48.8448677418977
155,"0131 - Campus to Iririú to Tupy - Volta",75,-26.2663383972149,-48.8447828949697
155,"0131 - Campus to Iririú to Tupy - Volta",76,-26.2663944283741,-48.8443192457704
155,"0131 - Campus to Iririú to Tupy - Volta",77,-26.2665954485718,-48.8428538642802
155,"0131 - Campus to Iririú to Tupy - Volta",78,-26.2666312863005,-48.8425340960338
155,"0131 - Campus to Iririú to Tupy - Volta",79,-26.2668682433394,-48.840707148271
155,"0131 - Campus to Iririú to Tupy - Volta",80,-26.2670984528114,-48.8389285829507
155,"0131 - Campus to Iririú to Tupy - Volta",81,-26.2672811639122,-48.8375666859552
155,"0131 - Campus to Iririú to Tupy - Volta",82,-26.2673290019947,-48.8372945040593
155,"0131 - Campus to Iririú to Tupy - Volta",83,-26.2674488584396,-48.8368937821196
155,"0131 - Campus to Iririú to Tupy - Volta",84,-26.2675489928866,-48.8366535478219
155,"0131 - Campus to Iririú to Tupy - Volta",85,-26.2676937140775,-48.8363821840468
155,"0131 - Campus to Iririú to Tupy - Volta",86,-26.2679446918317,-48.8360656104035
155,"0131 - Campus to Iririú to Tupy - Volta",87,-26.2683120285308,-48.8356628036895
155,"0131 - Campus to Iririú to Tupy - Volta",88,-26.2691046622675,-48.8349582506029
155,"0131 - Campus to Iririú to Tupy - Volta",89,-26.2702873327453,-48.8339016072933
155,"0131 - Campus to Iririú to Tupy - Volta",90,-26.2711895067231,-48.8330682256549
155,"0131 - Campus to Iririú to Tupy - Volta",91,-26.2724684743986,-48.8319507154068
155,"0131 - Campus to Iririú to Tupy - Volta",92,-26.2734720733187,-48.8310236863325
155,"0131 - Campus to Iririú to Tupy - Volta",93,-26.2737193401655,-48.8308522326357
155,"0131 - Campus to Iririú to Tupy - Volta",94,-26.2739117789739,-48.8306730374812
155,"0131 - Campus to Iririú to Tupy - Volta",95,-26.2744393847436,-48.8301893117058
155,"0131 - Campus to Iririú to Tupy - Volta",96,-26.2747051203144,-48.8299435826999
155,"0131 - Campus to Iririú to Tupy - Volta",97,-26.2747304632603,-48.8298615816625
155,"0131 - Campus to Iririú to Tupy - Volta",98,-26.2746757822051,-48.8297591156936
155,"0131 - Campus to Iririú to Tupy - Volta",99,-26.2745621317872,-48.8295733335236
155,"0131 - Campus to Iririú to Tupy - Volta",100,-26.2743226471957,-48.8291863782796
155,"0131 - Campus to Iririú to Tupy - Volta",101,-26.2738555889131,-48.8284077180107
155,"0131 - Campus to Iririú to Tupy - Volta",102,-26.2737543866849,-48.8282268641062
155,"0131 - Campus to Iririú to Tupy - Volta",103,-26.2736891664183,-48.8281091461606
155,"0131 - Campus to Iririú to Tupy - Volta",104,-26.2736382877516,-48.8280483455639
155,"0131 - Campus to Iririú to Tupy - Volta",105,-26.2735676090928,-48.8279810895262
155,"0131 - Campus to Iririú to Tupy - Volta",106,-26.2735166194285,-48.8279421521048
155,"0131 - Campus to Iririú to Tupy - Volta",107,-26.2734401425948,-48.8279149626308
155,"0131 - Campus to Iririú to Tupy - Volta",108,-26.2733842859814,-48.8279021061448
155,"0131 - Campus to Iririú to Tupy - Volta",109,-26.2733390947179,-48.827914550503
155,"0131 - Campus to Iririú to Tupy - Volta",110,-26.2732829913255,-48.8279425269562
155,"0131 - Campus to Iririú to Tupy - Volta",111,-26.2732209455013,-48.8279842261407
