"id","name","seq","lat","lng"
379,"0215 - Aventureiro to Tupy - Ida",1,-26.2923295199552,-48.8142861624302
379,"0215 - Aventureiro to Tupy - Ida",2,-26.2925065356419,-48.8144006899796
379,"0215 - Aventureiro to Tupy - Ida",3,-26.2925263154163,-48.8144216200885
379,"0215 - Aventureiro to Tupy - Ida",4,-26.2925410580984,-48.8144461099397
379,"0215 - Aventureiro to Tupy - Ida",5,-26.2925511025435,-48.8144777968921
379,"0215 - Aventureiro to Tupy - Ida",6,-26.2925479927565,-48.8145120330214
379,"0215 - Aventureiro to Tupy - Ida",7,-26.2925331136679,-48.8145401218953
379,"0215 - Aventureiro to Tupy - Ida",8,-26.2925140191495,-48.8145561646481
379,"0215 - Aventureiro to Tupy - Ida",9,-26.2924841212171,-48.8145678806948
379,"0215 - Aventureiro to Tupy - Ida",10,-26.2924478142147,-48.8145711161389
379,"0215 - Aventureiro to Tupy - Ida",11,-26.2924000761876,-48.8145509767504
379,"0215 - Aventureiro to Tupy - Ida",12,-26.292355285205,-48.8145127647203
379,"0215 - Aventureiro to Tupy - Ida",13,-26.2916397828166,-48.8140207153325
379,"0215 - Aventureiro to Tupy - Ida",14,-26.2914986141928,-48.8139183073742
379,"0215 - Aventureiro to Tupy - Ida",15,-26.2914085044177,-48.8138354468305
379,"0215 - Aventureiro to Tupy - Ida",16,-26.2913731792447,-48.8137723945427
379,"0215 - Aventureiro to Tupy - Ida",17,-26.2913801633067,-48.8137053259493
379,"0215 - Aventureiro to Tupy - Ida",18,-26.291397676161,-48.8135866112936
379,"0215 - Aventureiro to Tupy - Ida",19,-26.2914010938592,-48.8135130970489
379,"0215 - Aventureiro to Tupy - Ida",20,-26.2913832910032,-48.8134614430288
379,"0215 - Aventureiro to Tupy - Ida",21,-26.2911368319843,-48.8131952220348
379,"0215 - Aventureiro to Tupy - Ida",22,-26.289713179033,-48.8117776366508
379,"0215 - Aventureiro to Tupy - Ida",23,-26.2895591350406,-48.8116506714898
379,"0215 - Aventureiro to Tupy - Ida",24,-26.2893427630843,-48.8114723102656
379,"0215 - Aventureiro to Tupy - Ida",25,-26.289257718142,-48.8114187650673
379,"0215 - Aventureiro to Tupy - Ida",26,-26.2890917577481,-48.8113081901916
379,"0215 - Aventureiro to Tupy - Ida",27,-26.2889419227326,-48.8112362135605
379,"0215 - Aventureiro to Tupy - Ida",28,-26.2888073716191,-48.8111884507192
379,"0215 - Aventureiro to Tupy - Ida",29,-26.2872867842759,-48.8107636504044
379,"0215 - Aventureiro to Tupy - Ida",30,-26.2868083099233,-48.8106429589234
379,"0215 - Aventureiro to Tupy - Ida",31,-26.2858083666438,-48.8103603089093
379,"0215 - Aventureiro to Tupy - Ida",32,-26.2856396467766,-48.8103053509918
379,"0215 - Aventureiro to Tupy - Ida",33,-26.2853808425561,-48.8101796508453
379,"0215 - Aventureiro to Tupy - Ida",34,-26.2851545435529,-48.8100731083332
379,"0215 - Aventureiro to Tupy - Ida",35,-26.2850821603876,-48.8100522348671
379,"0215 - Aventureiro to Tupy - Ida",36,-26.2849659310695,-48.8100393938605
379,"0215 - Aventureiro to Tupy - Ida",37,-26.284800564112,-48.8100350755076
379,"0215 - Aventureiro to Tupy - Ida",38,-26.2846202031841,-48.8100826890659
379,"0215 - Aventureiro to Tupy - Ida",39,-26.2844322923629,-48.8101537434135
379,"0215 - Aventureiro to Tupy - Ida",40,-26.2836952368415,-48.8104697988278
379,"0215 - Aventureiro to Tupy - Ida",41,-26.2829557568965,-48.8107443094369
379,"0215 - Aventureiro to Tupy - Ida",42,-26.2827899106289,-48.8108092961025
379,"0215 - Aventureiro to Tupy - Ida",43,-26.2822365057455,-48.8108645490578
379,"0215 - Aventureiro to Tupy - Ida",44,-26.2805896984651,-48.8109885418874
379,"0215 - Aventureiro to Tupy - Ida",45,-26.2791791035952,-48.8111079895961
379,"0215 - Aventureiro to Tupy - Ida",46,-26.2790074964364,-48.8111183516141
379,"0215 - Aventureiro to Tupy - Ida",47,-26.2766081953853,-48.8113230366408
379,"0215 - Aventureiro to Tupy - Ida",48,-26.2741910594741,-48.8114689801571
379,"0215 - Aventureiro to Tupy - Ida",49,-26.2726709072704,-48.8116113806216
379,"0215 - Aventureiro to Tupy - Ida",50,-26.2716354681984,-48.8116924407883
379,"0215 - Aventureiro to Tupy - Ida",51,-26.2714700676338,-48.8117002516768
379,"0215 - Aventureiro to Tupy - Ida",52,-26.271102904195,-48.811728416675
379,"0215 - Aventureiro to Tupy - Ida",53,-26.2710328915402,-48.8116912649835
379,"0215 - Aventureiro to Tupy - Ida",54,-26.2709688197652,-48.8116503318742
379,"0215 - Aventureiro to Tupy - Ida",55,-26.270799286325,-48.811542341513
379,"0215 - Aventureiro to Tupy - Ida",56,-26.2702437543909,-48.8111485347684
379,"0215 - Aventureiro to Tupy - Ida",57,-26.270105639444,-48.8110457713424
379,"0215 - Aventureiro to Tupy - Ida",58,-26.2698220041789,-48.8108483511379
379,"0215 - Aventureiro to Tupy - Ida",59,-26.2692347407186,-48.8104287317633
379,"0215 - Aventureiro to Tupy - Ida",60,-26.269186245034,-48.8104107065196
379,"0215 - Aventureiro to Tupy - Ida",61,-26.2691569053897,-48.8104074581679
379,"0215 - Aventureiro to Tupy - Ida",62,-26.269129068765,-48.8104107712063
379,"0215 - Aventureiro to Tupy - Ida",63,-26.2690881107463,-48.8104403058719
379,"0215 - Aventureiro to Tupy - Ida",64,-26.2690435597881,-48.81047684225
379,"0215 - Aventureiro to Tupy - Ida",65,-26.2684733831023,-48.811015893417
379,"0215 - Aventureiro to Tupy - Ida",66,-26.2679957055357,-48.8114592712211
379,"0215 - Aventureiro to Tupy - Ida",67,-26.2665027402747,-48.8128735901944
379,"0215 - Aventureiro to Tupy - Ida",68,-26.2648577992228,-48.8144051202018
379,"0215 - Aventureiro to Tupy - Ida",69,-26.263120179795,-48.8160327555221
379,"0215 - Aventureiro to Tupy - Ida",70,-26.2615899179663,-48.8175410934215
