"id","name","seq","lat","lng"
412,"1308 - Guanabara to Escolinha Volta",1,-26.3603957110979,-48.8273206689915
412,"1308 - Guanabara to Escolinha Volta",2,-26.3604182255957,-48.8270945088289
412,"1308 - Guanabara to Escolinha Volta",3,-26.3604353329961,-48.8269298946435
412,"1308 - Guanabara to Escolinha Volta",4,-26.3605986988636,-48.8266556869738
412,"1308 - Guanabara to Escolinha Volta",5,-26.3608854185148,-48.8262073876231
412,"1308 - Guanabara to Escolinha Volta",6,-26.3610975855912,-48.825826090091
412,"1308 - Guanabara to Escolinha Volta",7,-26.3612962584136,-48.8255538549317
412,"1308 - Guanabara to Escolinha Volta",8,-26.3615140997101,-48.8253026040258
412,"1308 - Guanabara to Escolinha Volta",9,-26.3616267834268,-48.8251849560642
412,"1308 - Guanabara to Escolinha Volta",10,-26.3617229503359,-48.8250850227167
412,"1308 - Guanabara to Escolinha Volta",11,-26.3618687020894,-48.8249485489228
412,"1308 - Guanabara to Escolinha Volta",12,-26.3620156426867,-48.8248169573677
412,"1308 - Guanabara to Escolinha Volta",13,-26.3621510934102,-48.8246990019135
412,"1308 - Guanabara to Escolinha Volta",14,-26.3622096846705,-48.8246495514431
412,"1308 - Guanabara to Escolinha Volta",15,-26.362379354282,-48.8244881561877
412,"1308 - Guanabara to Escolinha Volta",16,-26.3625024509333,-48.824344216703
412,"1308 - Guanabara to Escolinha Volta",17,-26.3626251368669,-48.8241770761583
412,"1308 - Guanabara to Escolinha Volta",18,-26.3627017033826,-48.824050632139
412,"1308 - Guanabara to Escolinha Volta",19,-26.3627488383011,-48.8239854610193
412,"1308 - Guanabara to Escolinha Volta",20,-26.3627812042503,-48.8239554700391
412,"1308 - Guanabara to Escolinha Volta",21,-26.3628909410874,-48.823953991774
412,"1308 - Guanabara to Escolinha Volta",22,-26.3630690516381,-48.82396657542
412,"1308 - Guanabara to Escolinha Volta",23,-26.3634178878418,-48.8239891440759
412,"1308 - Guanabara to Escolinha Volta",24,-26.3636236382546,-48.8240033696
412,"1308 - Guanabara to Escolinha Volta",25,-26.3639361602424,-48.8240213026979
412,"1308 - Guanabara to Escolinha Volta",26,-26.3642559344842,-48.8240408704699
412,"1308 - Guanabara to Escolinha Volta",27,-26.3644953078991,-48.824052207889
412,"1308 - Guanabara to Escolinha Volta",28,-26.3647937464643,-48.824075197051
412,"1308 - Guanabara to Escolinha Volta",29,-26.365192840793,-48.8241003647103
412,"1308 - Guanabara to Escolinha Volta",30,-26.3652886845984,-48.8241002603223
412,"1308 - Guanabara to Escolinha Volta",31,-26.3664729399055,-48.8241867371482
412,"1308 - Guanabara to Escolinha Volta",32,-26.3675437750332,-48.8242561874327
412,"1308 - Guanabara to Escolinha Volta",33,-26.3690221247241,-48.8243589753939
412,"1308 - Guanabara to Escolinha Volta",34,-26.3689920203654,-48.8247982750625
412,"1308 - Guanabara to Escolinha Volta",35,-26.368955120539,-48.8253311415938
412,"1308 - Guanabara to Escolinha Volta",36,-26.3689041341797,-48.8260878831481
